"Date","Predicted Cash"
"2010-05-01",67.44880418358821
"2010-05-02",73.3027910272513
"2010-05-03",10.256587507483388
"2010-05-04",1.3422649364839074
"2010-05-05",100.70632659055836
"2010-05-06",91.49349817974459
"2010-05-07",68.03563575716097
"2010-05-08",67.19298344688075
"2010-05-09",73.04697029054383
"2010-05-10",10.000766770775918
"2010-05-11",1.0864441997764374
"2010-05-12",100.4505058538509
"2010-05-13",91.23767744303711
"2010-05-14",67.77981502045351
"2010-05-15",66.93716271017327
"2010-05-16",72.79114955383636
"2010-05-17",9.744946034068448
"2010-05-18",0.8306234630689673
"2010-05-19",100.19468511714342
"2010-05-20",90.98185670632964
"2010-05-21",67.52399428374605
"2010-05-22",66.6813419734658
"2010-05-23",72.53532881712889
"2010-05-24",9.489125297360978
"2010-05-25",0.5748027263614972
"2010-05-26",99.93886438043594
"2010-05-27",90.72603596962219
"2010-05-28",67.26817354703857
"2010-05-29",66.42552123675833
"2010-05-30",72.27950808042142
